subject,chapter,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"Logic","Chapter 6","medium","The square of opposition illustrates?","Relations among categorical propositions","Strength of inductive arguments","Truth of premises","Fallacies","A","It shows contradictions, contraries, subcontraries, and subalterns."
"Logic","Chapter 1","simple","Philosophy literally means?","Love of wisdom","Love of power","Love of society","Love of knowledge","A","Philosophy literally means 'love of wisdom' from Greek 'philo' (love) and 'sophia' (wisdom)."
"Logic","Chapter 1","medium","Which feature distinguishes doing philosophy from merely having a philosophy?","Critical reflection","Reading books","Following traditions","Memorizing facts","A","Doing philosophy requires critical and reflective thinking beyond holding beliefs."
"Logic","Chapter 1","hard","Case: Ali believes all knowledge comes from textbooks. What epistemological stance is this closest to?","Rationalism","Empiricism","Authority-based knowledge","Intuition","C","Ali relies on authoritative sources rather than personal reasoning or observation."
"Logic","Chapter 1","simple","Socrates’ statement 'The unexamined life is not worth living' emphasizes?","Critical thinking","Obedience","Religious faith","Material wealth","A","Socrates emphasizes reflection and critical examination of one's life."
"Logic","Chapter 1","medium","Doing philosophy requires which skill?","Memorization","Critical reflection","Following rules","Emotional intelligence","B","Philosophy requires thinking critically, not rote memorization."
"Logic","Chapter 1","hard","Trick: If 'All philosophers are wise; some wise people are not philosophers.' Which inference is valid?","Some philosophers are not wise","All wise people are philosophers","Some philosophers are wise","No valid inference","C","From 'All philosophers are wise', it follows that some philosophers are wise."
"Logic","Chapter 1","simple","Metaphysics primarily studies?","Reality and existence","Human behavior","Thought processes","Logic rules","A","Metaphysics is the branch of philosophy that studies reality and existence."
"Logic","Chapter 1","medium","Epistemology is concerned with?","The study of knowledge","Moral values","Political systems","Biology","A","Epistemology deals with the nature, scope, and limits of knowledge."
"Logic","Chapter 1","hard","Case: Fatima questions whether sensory experience can provide certain knowledge. Which branch of philosophy is she engaging?","Ethics","Epistemology","Metaphysics","Aesthetics","B","Questioning the nature and sources of knowledge falls under epistemology."
"Logic","Chapter 1","simple","Logic as a branch of philosophy studies?","Arguments and reasoning","Feelings","Historical events","Physical sciences","A","Logic studies principles of correct reasoning and argumentation."
"Logic","Chapter 1","medium","Philosophical ethics primarily examines?","Correct reasoning","Moral principles","Mathematical proofs","Natural laws","B","Ethics examines principles of right and wrong conduct."
"Logic","Chapter 1","hard","Trick: If someone claims 'All knowledge is empirical; some empirical beliefs are false.' Which inference is valid?","Some knowledge is false","All knowledge is empirical","No valid inference","Some beliefs are true","C","We cannot deduce any valid inference about all knowledge from these statements alone."
"Logic","Chapter 2","simple","A premise in an argument is?","The conclusion","Evidence supporting the conclusion","A question","A fallacy","B","Premises provide support for the conclusion."
"Logic","Chapter 2","medium","Which is a deductive argument?","All humans are mortal. Socrates is human. Therefore, Socrates is mortal.","It will rain because the sky is cloudy.","Most birds can fly. Penguins are birds. Therefore, penguins can fly.","I feel tired; therefore, I will sleep well.","A","Deductive arguments guarantee the truth of the conclusion if premises are true."
"Logic","Chapter 2","hard","Case: Fatima hears that exercising improves mood. She reasons it may also improve cognitive performance. This is an example of?","Deductive reasoning","Inductive reasoning","Circular reasoning","Fallacy of relevance","B","Fatima generalizes from observation, characteristic of induction."
"Logic","Chapter 2","simple","Deductive arguments aim to?","Guarantee the conclusion","Suggest probabilities","Persuade emotionally","Provide anecdotes","A","Deductive arguments aim to guarantee the truth of the conclusion."
"Logic","Chapter 2","medium","Inductive arguments aim to?","Provide conclusive proof","Suggest probability","Prove mathematically","Refute premises","B","Inductive arguments aim to support the conclusion probabilistically."
"Logic","Chapter 2","hard","Trick: If 'All A are B' and 'Some B are C', what immediate inference is valid?","Some A are C","No valid inference","All B are C","Some A are not C","B","No immediate inference can be validly drawn from these two statements alone."
"Logic","Chapter 3","simple","Intension of a term refers to?","Its dictionary definition","The set of objects it applies to","Both meaning and object set","Its historical origin","A","Intension refers to the internal content or meaning of a term."
"Logic","Chapter 3","medium","Extension of the term 'dog' includes?","All characteristics of dogs","All individual dogs in the world","The concept of dog","Synonyms of dog","B","Extension refers to the set of all objects the term applies to."
"Logic","Chapter 3","hard","Case: A teacher uses 'justice' differently in different contexts to illustrate a point. Which definitional technique is primarily involved?","Intensional","Extensional","Lexical","Stipulative","A","Intensional definition focuses on attributes determining membership."
"Logic","Chapter 3","simple","Lexical definition provides?","The common usage of a word","The scientific meaning","A stipulative rule","A metaphor","A","Lexical definitions give the commonly accepted meaning of a word."
"Logic","Chapter 3","medium","Stipulative definitions are used to?","Introduce a new meaning for a term","Summarize common usage","Provide synonyms","Explain history","A","Stipulative definitions assign a meaning for a term for clarity or argument."
"Logic","Chapter 3","hard","Trick: 'All A are B' and 'No B are C'. What inference about A and C?","Some A are C","No A are C","No valid inference","All A are C","C","No direct inference can be drawn about A and C from these two statements."
"Logic","Chapter 1","simple","Philosophical metaphysics studies?","The nature of reality","Human behavior","Logical fallacies","Ethical dilemmas","A","Metaphysics examines the fundamental nature of reality and existence."
"Logic","Chapter 1","medium","Epistemology examines?","Knowledge and its limits","Emotional intelligence","Social behavior","Physical sciences","A","Epistemology deals with the nature, sources, and scope of knowledge."
"Logic","Chapter 1","hard","Case: John doubts that sense perception gives certain knowledge. Which branch is this?","Ethics","Epistemology","Metaphysics","Logic","B","Questioning the reliability of sensory experience falls under epistemology."
"Logic","Chapter 1","simple","Logic is the study of?","Principles of correct reasoning","Ethical conduct","Aesthetic beauty","Physical phenomena","A","Logic studies principles and methods of valid reasoning."
"Logic","Chapter 1","medium","Ethics is concerned with?","What is right and wrong","Scientific facts","Logical deduction","Physical objects","A","Ethics studies moral principles governing human behavior."
"Logic","Chapter 1","hard","Trick: If 'All philosophers are wise; some wise people are not philosophers.' What can be inferred?","Some philosophers are not wise","All wise people are philosophers","Some philosophers are wise","No inference","C","It only follows that some philosophers are wise."
"Logic","Chapter 2","simple","A premise is?","Statement providing support","The conclusion itself","A question","A fallacy","A","Premises provide support for the argument's conclusion."
"Logic","Chapter 2","medium","Which of these is a deductive argument?","All humans are mortal. Socrates is human. Therefore, Socrates is mortal.","It rains, so I will sleep.","Most birds can fly; penguins are birds; penguins can fly.","I feel tired; I will sleep well.","A","Deductive argument guarantees conclusion if premises are true."
"Logic","Chapter 2","hard","Case: Fatima hears 'Exercise improves mood.' She generalizes cognitive improvement. Type of reasoning?","Deductive","Inductive","Circular","Red herring","B","Fatima generalizes from observation, typical of induction."
"Logic","Chapter 2","simple","Deductive arguments aim to?","Provide certainty","Suggest probability","Persuade emotionally","Offer anecdotes","A","Deductive arguments guarantee truth of the conclusion if premises are true."
"Logic","Chapter 2","medium","Inductive arguments aim to?","Provide certainty","Suggest probability","Offer absolute proof","Refute premises","B","Inductive reasoning supports conclusions probabilistically."
"Logic","Chapter 2","hard","Trick: If 'All A are B' and 'Some B are C', what inference is valid?","Some A are C","No valid inference","All B are C","Some A are not C","B","No immediate inference can be drawn."
"Logic","Chapter 3","simple","Intension of a term refers to?","Meaning or attributes","Objects it denotes","Both meaning and objects","Origin of term","A","Intension is the meaning or defining attributes of a term."
"Logic","Chapter 3","medium","Extension of 'dog' refers to?","All dogs in the world","Definition of dog","Concept of dog","Synonyms","A","Extension refers to all objects the term applies to."
"Logic","Chapter 3","hard","Case: 'Justice' used differently in different contexts illustrates?","Intensional definition","Extensional definition","Lexical","Stipulative","A","Intensional definition focuses on attributes or criteria for membership."
"Logic","Chapter 3","simple","Lexical definition gives?","Commonly accepted meaning","Scientific meaning","Stipulative rules","Metaphorical use","A","Lexical definitions express standard usage."
"Logic","Chapter 3","medium","Stipulative definition is used to?","Assign a new meaning","Explain common use","Provide synonyms","Show historical origin","A","Stipulative definitions create a clear meaning for a term."
"Logic","Chapter 3","hard","Trick: 'All A are B' and 'No B are C'. What about A and C?","Some A are C","No A are C","No inference","All A are C","C","No direct inference can be drawn."
"Logic","Chapter 1","simple","Socrates emphasized?","The examined life","Obedience","Wealth","Popularity","A","Socrates taught the importance of reflection on life."
"Logic","Chapter 1","medium","Doing philosophy requires?","Critical thinking","Memorization","Following rules","Blind acceptance","A","Philosophy involves analysis and reasoning, not rote memorization."
"Logic","Chapter 1","hard","Case: Someone claims all knowledge comes from textbooks. Which epistemology?","Rationalism","Empiricism","Authority-based","Intuition","C","Reliance on authoritative sources reflects authority-based epistemology."
"Logic","Chapter 2","simple","Premises provide?","Support for conclusion","The conclusion itself","Questions","Facts only","A","Premises give the basis for the conclusion."
"Logic","Chapter 2","medium","Deductive reasoning guarantees?","Conclusion if premises are true","High probability","Emotional persuasion","None","A","Deductive reasoning ensures conclusion truth when premises are true."
"Logic","Chapter 2","hard","Trick: 'All A are B' and 'Some B are not C'. Can we infer 'Some A are not C'?","Yes","No","Only if C exists","Cannot say","B","No immediate inference is valid."
"Logic","Chapter 3","simple","Categorical propositions state something about?","Classes or categories","Individuals","Opinions","Events","A","They make statements about classes or groups."
"Logic","Chapter 3","medium","Quality of a proposition is?","Affirmative or negative","Universal or particular","True or false","Strong or weak","A","Quality refers to whether it affirms or denies the predicate."
"Logic","Chapter 3","hard","Case: 'Some A are not B'. What is quantity and quality?","Particular, negative","Universal, positive","Particular, affirmative","Universal, negative","A","Some = particular; 'are not' = negative."
"Logic","Chapter 1","hard","Trick: If 'All philosophers are wise', 'Some wise people are not philosophers', valid inference?","Some philosophers are wise","All wise are philosophers","No inference","All philosophers are not wise","A","Only 'some philosophers are wise' follows."
"Logic","Chapter 1","medium","Branches of philosophy include?","Metaphysics, epistemology, ethics","Math, physics, chemistry","History, language, logic","Biology, sociology, art","A","Philosophy is divided into metaphysics, epistemology, ethics, etc."
"Logic","Chapter 1","simple","Metaphysics studies?","Nature of reality","Human behavior","Logical principles","Moral values","A","Metaphysics examines fundamental questions about reality and existence."
"Logic","Chapter 1","medium","Epistemology focuses on?","Knowledge and belief","Ethical conduct","Aesthetic judgment","Physical laws","A","Epistemology studies the nature, sources, and limits of knowledge."
"Logic","Chapter 1","hard","Case: John questions whether the senses provide true knowledge. This branch is?","Ethics","Epistemology","Metaphysics","Logic","B","Examining the reliability of sensory knowledge is epistemology."
"Logic","Chapter 1","simple","Ethics is the study of?","Right and wrong","Logical reasoning","Aesthetics","Metaphysics","A","Ethics examines moral principles guiding behavior."
"Logic","Chapter 1","medium","Logic studies?","Correct reasoning","Physical phenomena","Emotional reactions","Art","A","Logic studies principles of valid reasoning and argument structure."
"Logic","Chapter 1","hard","Trick: If 'All philosophers are wise', 'Some wise people are not philosophers.' Valid inference?","Some philosophers are wise","All wise are philosophers","No inference","All philosophers are not wise","A","Only 'some philosophers are wise' follows logically."
"Logic","Chapter 2","simple","Premises in an argument?","Provide support for conclusion","Are the conclusion","Ask questions","Are irrelevant","A","Premises support the argument’s conclusion."
"Logic","Chapter 2","medium","Deductive argument example?","All humans are mortal; Socrates is human; therefore, Socrates is mortal","Most birds can fly; penguins are birds; therefore, penguins can fly","It rains; I will sleep","I feel tired; I will sleep","A","Deductive reasoning guarantees conclusion if premises are true."
"Logic","Chapter 2","hard","Case: Fatima observes exercise improves mood and infers cognitive benefits. Reasoning type?","Deductive","Inductive","Circular","Fallacy","B","This is inductive reasoning: generalizing from observations."
"Logic","Chapter 2","simple","Deductive arguments aim to?","Guarantee the conclusion","Provide probability","Persuade emotionally","Give examples","A","Deductive arguments guarantee conclusion when premises are true."
"Logic","Chapter 2","medium","Inductive arguments aim to?","Prove absolutely","Support probabilistically","Provide certainty","Refute evidence","B","Inductive reasoning supports conclusions with probability."
"Logic","Chapter 2","hard","Trick: 'All A are B' and 'Some B are C'. Immediate inference?","Some A are C","No valid inference","All B are C","Some A are not C","B","No immediate inference is valid."
"Logic","Chapter 3","simple","Intension of a term?","Meaning or attributes","Set of objects","Both","Origin","A","Intension refers to meaning or defining attributes."
"Logic","Chapter 3","medium","Extension of 'dog'?","All individual dogs","Definition of dog","Concept","Synonyms","A","Extension refers to all objects the term applies to."
"Logic","Chapter 3","hard","Case: Teacher shows 'justice' differs in context. Definitional type?","Intensional","Extensional","Lexical","Stipulative","A","Intensional definitions focus on attributes determining membership."
"Logic","Chapter 3","simple","Lexical definition?","Commonly accepted meaning","New meaning","Synonyms","Metaphor","A","Lexical definitions give standard usage."
"Logic","Chapter 3","medium","Stipulative definition?","Assign new meaning","Summarize usage","Provide synonyms","Show history","A","Stipulative definitions assign meaning for clarity in arguments."
"Logic","Chapter 3","hard","Trick: 'All A are B', 'No B are C'. Inference about A and C?","Some A are C","No A are C","No inference","All A are C","C","No direct inference can be drawn."
"Logic","Chapter 1","simple","Socrates emphasized?","Examined life","Obedience","Wealth","Popularity","A","Reflection and critical examination of life is key."
"Logic","Chapter 1","medium","Doing philosophy requires?","Critical thinking","Memorization","Following rules","Blind acceptance","A","Philosophy requires reasoning and reflection."
"Logic","Chapter 1","hard","Case: All knowledge comes from textbooks. Epistemology type?","Rationalism","Empiricism","Authority-based","Intuition","C","Relying solely on authoritative sources is authority-based."
"Logic","Chapter 2","simple","Premises provide?","Support for conclusion","The conclusion itself","Questions","Facts only","A","Premises support the conclusion."
"Logic","Chapter 2","medium","Deductive reasoning guarantees?","Conclusion if premises true","High probability","Emotional persuasion","None","A","Deductive reasoning ensures conclusion truth."
"Logic","Chapter 2","hard","Trick: 'All A are B', 'Some B are not C'. Can we infer 'Some A are not C'?","Yes","No","Only if C exists","Cannot say","B","No immediate inference is valid."
"Logic","Chapter 3","simple","Categorical propositions state?","Classes","Individuals","Opinions","Events","A","They make statements about categories."
"Logic","Chapter 3","medium","Quality of a proposition?","Affirmative or negative","Universal or particular","True or false","Strong or weak","A","Quality indicates affirmation or negation."
"Logic","Chapter 3","hard","Case: 'Some A are not B'. Quantity and quality?","Particular, negative","Universal, positive","Particular, affirmative","Universal, negative","A","Some = particular; 'are not' = negative."
"Logic","Chapter 1","hard","Trick: 'All philosophers are wise', 'Some wise are not philosophers'. Inference?","Some philosophers are wise","All wise are philosophers","No inference","All philosophers are not wise","A","Only 'some philosophers are wise' follows."
"Logic","Chapter 1","medium","Branches of philosophy include?","Metaphysics, epistemology, ethics","Math, physics, chemistry","History, language, logic","Biology, sociology, art","A","Philosophy has multiple branches."
"Logic","Chapter 1","simple","Logic studies?","Principles of correct reasoning","Emotions","Physical objects","History","A","Logic is about reasoning and argumentation."
"Logic","Chapter 2","medium","Deductive reasoning example?","All humans are mortal; Socrates is human; therefore Socrates is mortal","Most birds can fly; penguins are birds; penguins can fly","It rains; I will sleep","I feel tired; I will sleep","A","Deductive reasoning guarantees conclusion if premises are true."
"Logic","Chapter 2","hard","Case: Exercise improves mood; Fatima infers cognitive benefits. Type?","Deductive","Inductive","Circular","Red herring","B","Generalization from observation is inductive reasoning."
"Logic","Chapter 1","simple","Philosophical ethics studies?","Principles of right and wrong","Mathematical proofs","Logical reasoning","Scientific method","A","Ethics examines moral principles governing human actions."
"Logic","Chapter 1","medium","Socrates' method emphasized?","Questioning assumptions","Memorization","Following rules","Authority","A","Socrates used critical questioning to examine life and knowledge."
"Logic","Chapter 1","hard","Case: A person claims knowledge is only from reason, not experience. Which epistemology?","Rationalism","Empiricism","Authority-based","Skepticism","A","Rationalism prioritizes reason over sensory experience."
"Logic","Chapter 1","simple","Metaphysics includes the study of?","Being and reality","Human emotions","Scientific experiments","Politics","A","Metaphysics studies existence, reality, and the nature of being."
"Logic","Chapter 1","medium","Epistemology investigates?","Nature and limits of knowledge","Behavioral patterns","Ethical norms","Physical phenomena","A","Epistemology explores how knowledge is acquired and validated."
"Logic","Chapter 1","hard","Trick: 'All knowledge is empirical; some empirical beliefs are false.' Valid inference?","Some knowledge is false","All knowledge is empirical","No inference","Some beliefs are true","C","We cannot deduce anything certain from these statements alone."
"Logic","Chapter 2","simple","Premises in an argument are?","Statements providing support","The conclusion itself","Questions","Opinions","A","Premises support the conclusion of an argument."
"Logic","Chapter 2","medium","Deductive argument guarantees?","Truth of conclusion if premises true","High probability","Emotional persuasion","Partial support","A","Deductive reasoning ensures conclusion truth with true premises."
"Logic","Chapter 2","hard","Case: Fatima observes patterns and predicts outcomes. Reasoning type?","Deductive","Inductive","Circular","Fallacy","B","Inductive reasoning generalizes from observations."
"Logic","Chapter 2","simple","Deductive reasoning aims to?","Provide certainty","Suggest probability","Persuade","Illustrate examples","A","Deductive arguments aim for certain conclusions."
"Logic","Chapter 2","medium","Inductive reasoning aims to?","Provide certainty","Support probabilistically","Refute claims","Guarantee truth","B","Inductive reasoning provides probabilistic support."
"Logic","Chapter 2","hard","Trick: 'All A are B' and 'Some B are C'. Immediate inference?","Some A are C","No valid inference","All B are C","Some A are not C","B","No immediate inference is valid."
"Logic","Chapter 3","simple","Intension of a term refers to?","Attributes or meaning","Objects it denotes","Both","Origin","A","Intension is the inherent meaning or attributes of a term."
"Logic","Chapter 3","medium","Extension of 'dog'?","All objects the term applies to","Definition only","Concept","Synonyms","A","Extension refers to all objects the term denotes."
"Logic","Chapter 3","hard","Case: 'Justice' has different meanings in contexts. Definitional type?","Intensional","Extensional","Lexical","Stipulative","A","Intensional definitions focus on attributes determining membership."
"Logic","Chapter 3","simple","Lexical definition provides?","Common usage","New definition","Synonyms","Metaphor","A","Lexical gives standard dictionary meaning."
"Logic","Chapter 3","medium","Stipulative definition used to?","Assign a meaning for clarity","Summarize common usage","Provide synonyms","Historical context","A","Stipulative definitions clarify meaning for argument or discussion."
"Logic","Chapter 3","hard","Trick: 'All A are B' and 'No B are C'. Inference about A and C?","Some A are C","No A are C","No inference","All A are C","C","No direct inference can be drawn from these two premises alone."
"Logic","Chapter 1","simple","Socrates emphasized?","The examined life","Obedience","Wealth","Popularity","A","Reflection on life is central to Socratic philosophy."
"Logic","Chapter 1","medium","Doing philosophy requires?","Critical thinking","Memorization","Following rules","Blind acceptance","A","Philosophy requires reasoning and analysis, not rote memorization."
"Logic","Chapter 1","hard","Case: All knowledge comes from textbooks. Epistemology type?","Rationalism","Empiricism","Authority-based","Intuition","C","Relying solely on authoritative sources is authority-based epistemology."
"Logic","Chapter 2","simple","Premises provide?","Support for conclusion","The conclusion itself","Questions","Facts only","A","Premises support the argument's conclusion."
"Logic","Chapter 2","medium","Deductive reasoning guarantees?","Conclusion if premises true","High probability","Emotional persuasion","None","A","Deductive reasoning ensures the truth of the conclusion when premises are true."
"Logic","Chapter 2","hard","Trick: 'All A are B' and 'Some B are not C'. Can we infer 'Some A are not C'?","Yes","No","Only if C exists","Cannot say","B","No immediate inference is valid."
"Logic","Chapter 3","simple","Categorical propositions state something about?","Classes or categories","Individuals","Opinions","Events","A","They make statements about groups or classes."
"Logic","Chapter 3","medium","Quality of a proposition?","Affirmative or negative","Universal or particular","True or false","Strong or weak","A","Quality indicates whether the predicate is affirmed or denied."
"Logic","Chapter 3","hard","Case: 'Some A are not B'. Quantity and quality?","Particular, negative","Universal, positive","Particular, affirmative","Universal, negative","A","'Some' = particular; 'are not' = negative."
"Logic","Chapter 1","hard","Trick: 'All philosophers are wise', 'Some wise are not philosophers'. Inference?","Some philosophers are wise","All wise are philosophers","No inference","All philosophers are not wise","A","Only 'some philosophers are wise' follows logically."
"Logic","Chapter 1","medium","Branches of philosophy include?","Metaphysics, epistemology, ethics","Math, physics, chemistry","History, language, logic","Biology, sociology, art","A","Philosophy is divided into metaphysics, epistemology, ethics, etc."
"Logic","Chapter 1","simple","Logic studies?","Principles of reasoning","Emotions","Physical objects","History","A","Logic is about reasoning and argumentation."
"Logic","Chapter 5","hard","Case: 'You can't trust her argument; she failed a class.' Identify the fallacy.","Ad hominem","Straw man","Post hoc","Slippery slope","A","Attacking the person rather than the argument is an ad hominem fallacy."
"Logic","Chapter 5","hard","Trick: 'Either you support me or you hate the country.' Identify the fallacy.","False dichotomy","Red herring","Slippery slope","Ad hominem","A","False dichotomy presents only two options when more exist."
"Logic","Chapter 5","hard","Case: 'If we don’t adopt this plan, the country will collapse.' Which fallacy?","Slippery slope","Post hoc","Ad hominem","Circular reasoning","A","Slippery slope assumes extreme consequences without justification."
"Logic","Chapter 5","hard","Trick: 'Everyone I know supports this idea; it must be correct.' Identify the fallacy.","Bandwagon","Appeal to authority","Red herring","Post hoc","A","Bandwagon assumes popularity equates to truth."
"Logic","Chapter 5","hard","Case: 'He is inexperienced, so his argument is wrong.' Which fallacy?","Ad hominem","Straw man","False cause","Slippery slope","A","Attacking the person instead of the argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'If it rains, the ground will be wet; the ground is wet; therefore, it rained.' Identify the fallacy.","Post hoc","Affirming the consequent","Denying the antecedent","Red herring","B","Affirming the consequent is a logical fallacy in reasoning."
"Logic","Chapter 5","hard","Case: 'You shouldn’t trust his argument; he is poor.' Which fallacy?","Ad hominem","Bandwagon","False cause","Slippery slope","A","Attacking the person’s status instead of the argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'We shouldn’t listen to the opposition; they are unpatriotic.' Identify the fallacy.","Ad hominem","False dichotomy","Slippery slope","Straw man","A","Attacking character instead of the argument is ad hominem."
"Logic","Chapter 5","hard","Case: 'If you fail this test, you’ll never succeed in life.' Which fallacy?","Slippery slope","Circular reasoning","Red herring","Hasty generalization","A","Slippery slope assumes extreme outcomes without proof."
"Logic","Chapter 5","hard","Trick: 'My teacher says it is true; therefore, it must be true.' Identify the fallacy.","Appeal to authority","Bandwagon","Red herring","Post hoc","A","Citing an irrelevant or unreliable authority is fallacious."
"Logic","Chapter 5","hard","Case: 'You should not eat chocolate; it is unhealthy.' Person argues based on fear. Which fallacy?","Appeal to emotion","Red herring","Straw man","Post hoc","A","Appeal to emotion persuades via fear or feelings rather than reasoning."
"Logic","Chapter 5","hard","Trick: 'Everyone is buying this product, so it must be good.' Identify the fallacy.","Bandwagon","Ad hominem","Appeal to authority","Red herring","A","Popularity does not guarantee truth or quality."
"Logic","Chapter 5","hard","Case: 'If you disagree with me, you are against progress.' Which fallacy?","False dichotomy","Straw man","Slippery slope","Ad hominem","A","False dichotomy limits options to two extremes."
"Logic","Chapter 5","hard","Trick: 'We shouldn’t discuss his argument; he is a convicted criminal.' Which fallacy?","Ad hominem","Red herring","Slippery slope","Post hoc","A","Attacking the person’s character instead of the argument is ad hominem."
"Logic","Chapter 5","hard","Case: 'If we allow students to redo tests, next they will demand grades automatically.' Identify the fallacy.","Slippery slope","Post hoc","Bandwagon","Red herring","A","Assuming extreme consequences without justification is slippery slope."
"Logic","Chapter 5","hard","Trick: 'This policy is bad because it was proposed by a politician I dislike.' Identify the fallacy.","Ad hominem","Straw man","False cause","Appeal to emotion","A","Attacking the proposer instead of the policy is ad hominem."
"Logic","Chapter 5","hard","Case: 'You must accept my view; all experts agree.' Which fallacy?","Appeal to authority","Bandwagon","Red herring","Straw man","A","Appeal to authority is fallacious if the authority is not relevant or reliable."
"Logic","Chapter 5","hard","Trick: 'If we don’t adopt my plan, disaster will happen.' Identify the fallacy.","Slippery slope","Ad hominem","Post hoc","Circular reasoning","A","Slippery slope assumes extreme consequences without proof."
"Logic","Chapter 5","hard","Case: 'He argued poorly because he is inexperienced.' Which fallacy?","Ad hominem","Straw man","False cause","Red herring","A","Attacking the person rather than their argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'If A happens, B will happen; B happened, so A happened.' Identify the fallacy.","Affirming the consequent","Post hoc","Straw man","Ad hominem","A","Affirming the consequent is a logical error."
"Logic","Chapter 5","hard","Case: 'Everyone I know votes for this law; it must be correct.' Identify the fallacy.","Bandwagon","Ad hominem","Post hoc","False cause","A","Popularity does not equal correctness."
"Logic","Chapter 5","hard","Trick: 'If you oppose me, you hate freedom.' Identify the fallacy.","False dichotomy","Slippery slope","Red herring","Ad hominem","A","False dichotomy reduces options incorrectly to two extremes."
"Logic","Chapter 5","hard","Case: 'She is wrong because she has no degree.' Identify the fallacy.","Ad hominem","Post hoc","Bandwagon","Slippery slope","A","Attacking a person instead of evaluating the argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'If we allow texting in class, students will never learn anything.' Identify the fallacy.","Slippery slope","Red herring","Post hoc","Straw man","A","Slippery slope assumes extreme consequences without justification."
"Logic","Chapter 5","hard","Case: 'My teacher says it is true; therefore, it must be true.' Identify the fallacy.","Appeal to authority","Bandwagon","Red herring","Post hoc","A","Relying on an irrelevant authority is fallacious."
"Logic","Chapter 5","hard","Trick: 'This must be true because everyone believes it.' Identify the fallacy.","Bandwagon","Ad hominem","Post hoc","False dichotomy","A","Majority belief does not guarantee truth."
"Logic","Chapter 5","hard","Case: 'You can’t argue; you are too young.' Identify the fallacy.","Ad hominem","Straw man","Slippery slope","Red herring","A","Attacking the person instead of the argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'If we don’t adopt this policy, catastrophe will occur.' Identify the fallacy.","Slippery slope","Circular reasoning","Post hoc","Ad hominem","A","Assuming extreme consequences without evidence is slippery slope."
"Logic","Chapter 5","hard","Case: 'You shouldn’t trust him; he is a criminal.' Which fallacy?","Ad hominem","Straw man","Bandwagon","Post hoc","A","Attacking the individual rather than the argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'If we allow red cars, soon all cars will be unsafe.' Identify the fallacy.","Slippery slope","False cause","Red herring","Ad hominem","A","Exaggerating consequences without justification is slippery slope."
"Logic","Chapter 5","hard","Case: 'He is wrong because he disagrees with me.' Identify the fallacy.","Ad hominem","Straw man","Post hoc","Bandwagon","A","Attacking the person instead of evaluating the argument."
"Logic","Chapter 5","hard","Trick: 'You must agree; otherwise, you are disloyal.' Identify the fallacy.","False dichotomy","Slippery slope","Red herring","Ad hominem","A","False dichotomy reduces options to two extremes."
"Logic","Chapter 5","hard","Case: 'If we don't ban phones, students will fail school.' Identify the fallacy.","Slippery slope","Ad hominem","Post hoc","Red herring","A","Slippery slope assumes extreme consequences without evidence."
"Logic","Chapter 5","hard","Trick: 'This argument is invalid because the speaker is untrustworthy.' Identify the fallacy.","Ad hominem","Straw man","Bandwagon","False dichotomy","A","Attacking the speaker instead of the argument is ad hominem."
"Logic","Chapter 5","hard","Case: 'If you disagree, disaster will follow.' Identify the fallacy.","Slippery slope","Ad hominem","Post hoc","Circular reasoning","A","Assuming extreme outcomes without evidence is slippery slope."
"Logic","Chapter 5","hard","Trick: 'Everyone supports this, so it must be correct.' Identify the fallacy.","Bandwagon","Appeal to authority","Red herring","Post hoc","A","Popularity is not proof of truth."
"Logic","Chapter 5","hard","Case: 'You are wrong because you are inexperienced.' Which fallacy?","Ad hominem","Slippery slope","False cause","Red herring","A","Attacking the person instead of argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'If we allow texting, learning will fail.' Identify the fallacy.","Slippery slope","Post hoc","Bandwagon","Red herring","A","Exaggerating outcomes without evidence is slippery slope."
"Logic","Chapter 5","hard","Case: 'Teacher says it’s true; therefore, it must be.' Which fallacy?","Appeal to authority","Bandwagon","Red herring","Post hoc","A","Relying on an irrelevant authority is fallacious."
"Logic","Chapter 5","hard","Trick: 'Everyone believes it, so it is correct.' Identify the fallacy.","Bandwagon","Ad hominem","Post hoc","False dichotomy","A","Majority belief does not equal truth."
"Logic","Chapter 5","hard","Case: 'You can’t argue; you are too young.' Identify the fallacy.","Ad hominem","Straw man","Slippery slope","Red herring","A","Attacking the person instead of the argument is ad hominem."
"Logic","Chapter 5","hard","Trick: 'If we allow red cars, soon all cars will be unsafe.' Identify the fallacy.","Slippery slope","False cause","Red herring","Ad hominem","A","Assuming extreme outcomes without justification is slippery slope."
"Logic","Chapter 5","hard","Case: 'He disagrees with me; therefore, he is wrong.' Identify the fallacy.","Ad hominem","Straw man","Post hoc","Bandwagon","A","Attacking the person rather than reasoning is ad hominem."
"Logic","Chapter 5","hard","Trick: 'Agree with me or you are disloyal.' Identify the fallacy.","False dichotomy","Slippery slope","Red herring","Ad hominem","A","Reducing options to only two extremes is false dichotomy."
